id,title,question,context,predict,relabel,answer_start
14,Bài 1: Lịch sử và cuộc sống,khái niệm lịch sử,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
15,Bài 1: Lịch sử và cuộc sống,Lịch sử được định nghĩa là gì?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ,,166
16,Bài 1: Lịch sử và cuộc sống,khái niệm môn lịch sử,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay,,363
17,Bài 1: Lịch sử và cuộc sống,Hãy nêu các ví dụ về Lịch sử?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.","Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học",,278
18,Bài 1: Lịch sử và cuộc sống,Lịch sử được hiểu là gì,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ,,166
19,Bài 1: Lịch sử và cuộc sống,Lịch sử còn được hiểu là gì?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",một khoa học nghiên cứu và phục dựng lại quá khứ,,220
20,Bài 1: Lịch sử và cuộc sống,Tại sao lịch sử còn được hiểu là một khoa học?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",nghiên cứu và phục dựng lại quá khứ,,233
21,Bài 1: Lịch sử và cuộc sống,Các ví dụ về lịch sử,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.","Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học",,278
22,Bài 1: Lịch sử và cuộc sống,Lịch sử là môn học tìm hiểu về cái gì?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay,,380
23,Bài 1: Lịch sử và cuộc sống,Quá trình hình thành và phát triển của xã hội loài người được tìm hiểu từ khi nào đến khi nào trong môn lịch sử?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",từ khi con người xuất hiện trên Trái Đất đến ngày nay,,437
24,Bài 1: Lịch sử và cuộc sống,Tại sao việc nghiên cứu lịch sử là quan trọng?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
25,Bài 1: Lịch sử và cuộc sống,Môn Địa lý là môn học tìm hiểu về gì?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
26,Bài 1: Lịch sử và cuộc sống,Lịch sử có phải là khoa học không?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",No Answer,,
27,Bài 1: Lịch sử và cuộc sống,Môn học nào tìm hiểu về quá trình hình thành và phát triển của xã hội loài người?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",Môn Lịch sử,,348
28,Bài 1: Lịch sử và cuộc sống,Lịch sử tìm hiểu về quá khứ từ khi nào đến ngày nay?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.",từ khi con người xuất hiện trên Trái Đất,,437
29,Bài 1: Lịch sử và cuộc sống,những thứ nào biến đổi theo thời gian?,"Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người đều biến đổi theo thời gian. Sự thay đổi đó chính là lịch sử. 
Lịch sử là tất cả những gì đã xảy ra và lịch sử còn được hiểu là một khoa học nghiên cứu và phục dựng lại quá khứ. Ví dụ : Lịch sử của Việt Nam, Lịch sử giáo dục Việt Nam, Lịch sử Toán học,… .
Môn Lịch sử là môn học tìm hiểu quá trình hình thành và phát triển của xã hội loài người từ khi con người xuất hiện trên Trái Đất đến ngày nay.","Máy tính điện tử cũng như mọi sự vật xung quanh chúng ta, cả con người và xã hội loài người",,0
30,Bài 1: Lịch sử và cuộc sống,ý nghĩa của việc học lịch sử?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.","tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại",,47
31,Bài 1: Lịch sử và cuộc sống,Cần phải học lịch sử vì?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",No Answer,,
32,Bài 1: Lịch sử và cuộc sống,Vì sao phải học Lịch sử?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",No Answer,,
33,Bài 1: Lịch sử và cuộc sống,Học lịch sử giúp em tìm hiểu về,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",quá khứ,,38
34,Bài 1: Lịch sử và cuộc sống,Học Lịch sử giúp em biết về cái gì,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",quá khứ,,38
35,Bài 1: Lịch sử và cuộc sống,học Lịch sử giúp chúng ta hiểu biết những gì?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.","chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại",,68
36,Bài 1: Lịch sử và cuộc sống,Học lịch sử không giúp chúng ta?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",No Answer,,
37,Bài 1: Lịch sử và cuộc sống,học Lịch sử giúp chúng ta hiểu biết những gì?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.","chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại",,68
38,Bài 1: Lịch sử và cuộc sống,học Lịch sử giúp chúng ta tìm hiểu về điều gì?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",quá khứ,,38
39,Bài 1: Lịch sử và cuộc sống,"Ngoài việc tìm hiểu về quá khứ, lịch sử còn giúp chúng ta làm gì?","Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.","tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại",,47
40,Bài 1: Lịch sử và cuộc sống,học Lịch sử giúp ta đúc kết những gì?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",sự thành công và thất bại của quá khứ,,203
41,Bài 1: Lịch sử và cuộc sống,Học lịch sử giúp ta đúc kết những gì từ quá khứ?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",sự thành công và thất bại,,203
42,Bài 1: Lịch sử và cuộc sống,Những bài học kinh nghiệm từ quá khứ có thể phục vụ cho mục đích gì?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai,,244
43,Bài 1: Lịch sử và cuộc sống,Việc hiểu biết về quá khứ có thể giúp ta làm gì cho hiện tại và tương lai?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",No Answer,,
44,Bài 1: Lịch sử và cuộc sống,việc đúc kết kinh nghiệm từ quá khứ có liên quan đến việc xây dựng gì?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",sự thành công và thất bại,,203
45,Bài 1: Lịch sử và cuộc sống,học Lịch sử có thể giúp chúng ta hiểu về bản thân như thế nào?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.","tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại",,47
46,Bài 1: Lịch sử và cuộc sống,học Lịch sử giúp ta tìm hiểu về dòng họ của chúng ta như thế nào?,"Học lịch sử giúp chúng ta tìm hiểu về quá khứ, tìm về cội nguồn của chính bản thân, gia đình, dòng họ,… và rộng hơn là của cả dân tộc, nhân loại. 
Học lịch sử còn để đúc kết những bài học kinh nghiệm về sự thành công và thất bại của quá khứ để phục vụ hiện tại và xây dựng cuộc sống mới trong tương lai.",No Answer,,
